Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A20N at Goa on Oct 23rd 2017, rejected takeoff due to stray dog",A20N,VT-ITK,6E-468,Oct 23rd 2017,Goa,Goa,Mumbai,rejected takeoff due to stray dog,Incident,"Oct 24, 2017","An Indigo Airlines Airbus A320-200N, registration VT-ITK performing flight 6E-468 from Goa to Mumbai (India), was accelerating for takeoff from Goa's…"
"Indigo A320 at Raipur on Sep 27th 2017, bird strike",A320,VT-IGV,6E-811,Sep 27th 2017,Raipur,Raipur,Kolkata,bird strike,Incident,"Sep 27, 2017","An Indigo Airbus A320-200, registration VT-IGV performing flight 6E-811 from Raipur to Kolkata (India), was climbing out of Raipur's runway 06 when…"
"Indigo A20N at Bhubaneswar on Sep 20th 2017, engine vibrations",A20N,VT-ITF,6E-3869,Sep 20th 2017,Bhubaneswar,Bhubaneswar,Bangalore,engine vibrations,Incident,"Sep 24, 2017","An Indigo Airbus A320-200N, registration VT-ITF performing flight 6E-3869 from Bhubaneswar to Bangalore (India), was in the initial climb out of…"
"Indigo A320 at Raipur on Sep 9th 2017, bird strike",A320,VT-IHD,6E-827,Sep 9th 2017,Raipur,Raipur,Hyderabad,bird strike,Incident,"Sep 9, 2017","An Indigo Airbus A320-200, registration VT-IHD performing flight 6E-827 from Raipur to Hyderabad (India) with 170 people on board, departed Raipur's…"
"Indigo A20N at Vishakhapatnam on Aug 30th 2017, rejected takeoff due to bird strike",A20N,VT-ITF,6E-287,Aug 30th 2017,Vishakhapatnam,Vishakhapatnam,Bangalore,rejected takeoff due to bird strike,Incident,"Aug 30, 2017","An Indigo Airbus A320-200N, registration VT-ITF performing flight 6E-287 from Vishakhapatnam to Bangalore (India) with 178 people on board, was…"
"Indigo A20N near Nagpur on Aug 16th 2017, engine shut down in flight",A20N,VT-ITK,6E-135,Aug 16th 2017,Nagpur,Ahmedabad,Kolkata,engine shut down in flight,Incident,"Aug 17, 2017","An Indigo Airbus A320-200N, registration VT-ITK performing flight 6E-135 from Ahmedabad to Kolkata (India), was enroute at FL290 about 130nm…"
"Indigo A320 at Patna on Jun 30th 2017, rejected takeoff due to engine stall prompts evacuation",A320,,,Jun 30th 2017,Patna,,,rejected takeoff due to engine stall prompts evacuation,,,
"Indigo A320 at Raipur on Apr 9th 2017, bird strike",A320,VT-ITK,6E-252,Apr 9th 2017,Raipur,Raipur,Kolkata,bird strike,Incident,"Apr 9, 2017","An Indigo Airbus A320-200, registration VT-ITK performing flight 6E-252 from Raipur to Kolkata (India), was in the initial climb out of Raipur's…"
"Indigo A320 near Kolkata on Jan 18th 2017, engine shut down in flight",A320,VT-IGS,6E-3645,Jan 18th 2017,Kolkata,Delhi,Dibrugarh,engine shut down in flight,Incident,"Jan 19, 2017","An Indigo Airbus A320-200, registration VT-IGS performing flight 6E-3645 from Delhi to Dibrugarh (India) with 180 passengers and 6 crew, was enroute…"
"Indigo A320 near Chennai on Sep 23rd 2016, Galaxy 2 smoke",A320,VT-IAQ,6E-54,Sep 23rd 2016,Chennai,Singapore,Chennai,Galaxy 2 smoke,Incident,"Sep 23, 2016","An Indigo Airbus A320-200, registration VT-IAQ performing flight 6E-54 from Singapore (Singapore) to Chennai (India), was descending towards Chennai…"
"Indigo A320 at Thiruvananthapuram on Aug 17th 2016, nose wheel steering indication",A320,VT-IGW,6E-933,Aug 17th 2016,Thiruvananthapuram,Mumbai,Thiruvananthapuram,nose wheel steering indication,Incident,"Aug 17, 2016","An Indigo Airbus A320-200, registration VT-IGW performing flight 6E-933 from Mumbai to Thiruvananthapuram (India) with 161 people on board, was…"
"Indigo A320 at Vadodara on May 19th 2016, technical problem",A320,VT-IDR,6E-591,May 19th 2016,Vadodara,Vadodara,Delhi,technical problem,Incident,"May 19, 2016","An Indigo Airbus A320-200, registration VT-IDR performing flight 6E-591 from Vadodara to Delhi (India) with 177 passengers and 6 crew, was climbing…"
"IndiGo A320 at Bangalore on May 11th 2016, hydraulic leak",A320,VT-INR,6E-637,May 11th 2016,Bangalore,Bangalore,Patna,hydraulic leak,Incident,"May 11, 2016","An IndiGo Airbus A320-200, registration VT-INR performing flight 6E-637 from Bangalore to Patna (India) with 154 passengers and 6 crew, was climbing…"
"Indigo A320 at Bangalore on Sep 12th 2013, runway excursion",A320,VT-IGV,6E-125,Sep 12th 2013,Bangalore,Delhi,Bangalore,runway excursion,Incident,"Nov 30, 2015","An Indigo Airbus A320-200, registration VT-IGV performing flight 6E-125 from Delhi to Bangalore (India) with 111 passengers and 6 crew, landed on…"
"Indigo A320 at Ahmedabad on Aug 20th 2015, bird strike",A320,VT-INS,6E-158,Aug 20th 2015,Ahmedabad,Ahmedabad,Delhi,bird strike,Incident,"Aug 20, 2015","An Indigo Airbus A320-200, registration VT-INS performing flight 6E-158 from Ahmedabad to Delhi (India), departed Ahmedabad's runway 23 but received…"
"Indigo A320 at Delhi on Aug 20th 2014, smoke from gear after landing causes evacuation",A320,VT-IFK,6E-176,Aug 20th 2014,Delhi,Mumbai,Delhi,smoke from gear after landing causes evacuation,Accident,"Aug 20, 2014","An Indigo Airbus A320-200, registration VT-IFK performing flight 6E-176 from Mumbai to Delhi (India) with 147 passengers and 6 crew, landed on…"
"Indigo A320 at Kathmandu on Mar 8th 2014, smoke from brakes during roll out",A320,VT-IEU,6E-31,Mar 8th 2014,Kathmandu,Delhi,Kathmandu,smoke from brakes during roll out,Incident,"Mar 8, 2014","An Indigo Airbus A320-200, registration VT-IEU performing flight 6E-31 from Delhi (India) to Kathmandu (Nepal) with 176 passengers and 6 crew, landed…"
"Indigo A320 at Agartala on Mar 20th 2013, bird strike",A320,VT-INQ,6E-236,Mar 20th 2013,Agartala,Agartala,Kolkata,bird strike,Incident,"Mar 22, 2013","An Indigo Airbus A320-200, registration VT-INQ performing flight 6E-236 from Agartala to Kolkata (India) with 177 passengers and 6 crew, was in the…"
"IndiGo A320 at Delhi on Feb 1st 2009, unruly passenger, threat of but no hijack",A320,,6E-334,Feb 1st 2009,Delhi,Goa,Delhi,"unruly passenger, threat of but no hijack",Incident,"Oct 30, 2012","The crew of an IndiGo Airbus A320-200, flight 6E-334 from Goa to Delhi (India), declared emergency reporting an unruly passenger on board while…"
"Indigo A320 at Srinagar on Jun 28th 2012, bird strike",A320,,6E-448,Jun 28th 2012,Srinagar,Srinagar,Mumbai,bird strike,Incident,"Jun 28, 2012","An Indigo Airbus A320-200, flight 6E-448 from Srinagar to Mumbai (India) with 182 people on board, was climbing through about 1500 feet out of…"
"IndiGo A320 at Jammu on Jun 13th 2012, leaking fire suppression system",A320,,6E-551,Jun 13th 2012,Jammu,Srinagar,Jammu,leaking fire suppression system,,"Jun 13, 2012","An IndiGo Airbus A320-200, flight 6E-551 from Srinagar to Jammu (India) with 166 passengers, had just landed at Jammu (India) when smoke was observed…"
"IndiGo A320 near Nagpur on Jun 6th 2012, engine vibrations",A320,VT-INS,6E-308,Jun 6th 2012,Nagpur,Hyderabad,Delhi,engine vibrations,,"Jun 7, 2012","An IndiGo Airbus A320-200, registration VT-INS performing flight 6E-308 from Hyderabad to Delhi (India) with 114 passengers, was enroute near Nagpur…"
"Indigo A320 near Phuket on May 26th 2012, medical emergency",A320,VT-IEG,6E-12,May 26th 2012,Phuket,Singapore,Delhi,medical emergency,,"May 28, 2012","An Indigo Airbus A320-200, registration VT-IEG performing flight 6E-12 from Singapore (Singapore) to Delhi (India), was enroute near Phuket…"
