Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A20N at Delhi on Oct 26th 2019, engine stalled",A20N,VT-IZT,6E-329,Oct 26th 2019,Delhi,Delhi,Goa,engine stalled,Incident,"Apr 1, 2020","An Indigo Airbus A320-200N, registration VT-IZT performing flight 6E-329 from Delhi to Goa (India), was climbing out of Delhi when the crew stopped…"
"Indigo A20N at Kolkata on Oct 30th 2019, engine stalled",A20N,VT-ITM,6E-862,Oct 30th 2019,Kolkata,Kolkata,Pune,engine stalled,Incident,"Apr 1, 2020","An Indigo Airbus A320-200N, registration VT-ITM performing flight 6E-862 from Kolkata to Pune (India), was climbing through about 8000 feet out of…"
"Indigo A20N near Kolkata on Oct 24th 2019, engine stall",A20N,VT-IVX,6E-563,Oct 24th 2019,Kolkata,Kolkata,Chennai,engine stall,Incident,"Mar 31, 2020","An Indigo Airbus A320-200N, registration VT-IVX performing flight 6E-563 from Kolkata to Chennai (India), was climbing out of Kolkata when the right…"
"Indigo A20N at Guwahati on Aug 19th 2019, rejected takeoff due to engine stall",A20N,VT-IVO,6E-291,Aug 19th 2019,Guwahati,Guwahati,Kolkata,rejected takeoff due to engine stall,Incident,"Mar 31, 2020","An Indigo Airbus A320-200N, registration VT-IVO performing flight 6E-291 from Guwahati to Kolkata (India), was accelerating for takeoff from Guwahati…"
"Indigo A20N near Varanasi on Sep 8th 2019, engine stall",A20N,VT-IZC,6E-6316,Sep 8th 2019,Varanasi,Hyderabad,Gorakhpur,engine stall,Incident,"Mar 31, 2020","An Indigo Airbus A320-200N, registration VT-IZC performing flight 6E-6316 from Hyderabad to Gorakhpur (India), was enroute at FL370 about 80nm south…"
"Indigo A20N near Goa on Jul 15th 2019, engine problem",A20N,VT-ITU,6E-162,Jul 15th 2019,Goa,Goa,Ahmedabad,engine problem,Incident,"Mar 31, 2020","An Indigo Airbus A320-200N, registration VT-ITU performing flight 6E-162 from Goa to Ahmedabad (India) with 180 people on board, was climbing out of…"
"Indigo A320 at Raipur on Dec 14th 2016, hard landing at +3.164G",A320,VT-IGK,6E-201,Dec 14th 2016,Raipur,Delhi,Raipur,hard landing at +3.164G,Report,"Feb 12, 2020","An Indigo Airbus A320-200, registration VT-IGK performing flight 6E-201 from Delhi to Raipur (India) with 167 passengers and 7 crew, performed an ILS…"
"Indigo A20N at Mumbai on Jan 23rd 2020, engine shut down in flight",A20N,VT-IJD,6E-5384,Jan 23rd 2020,Mumbai,Mumbai,Hyderabad,engine shut down in flight,Incident,"Jan 23, 2020","An Indigo Airbus A320-200N, registration VT-IJD performing flight 6E-5384 from Mumbai to Hyderabad (India) with 95 people on board, was climbing out…"
"Indigo A20N near Mumbai on Jan 16th 2020, engine vibrations",A20N,VT-ITW,6E-6129,Jan 16th 2020,Mumbai,Pune,Jaipur,engine vibrations,Incident,"Jan 16, 2020","An Indigo Airbus A320-200N, registration VT-ITW performing flight 6E-6129 from Pune to Jaipur (India) with 176 people on board, was enroute at FL300…"
"Indigo A20N at Mumbai on Jan 6th 2020, loss of cabin pressure",A20N,VT-ITA,6E-6449,Jan 6th 2020,Mumbai,Bangalore,Mumbai,loss of cabin pressure,Incident,"Jan 6, 2020","An Indigo Airbus A320-200N, registration VT-ITA performing flight 6E-6449 from Bangalore to Mumbai (India), was descending through about FL200…"
